,Name,Geometry,Address,Description,Lattitude,Longitude,Category
126,Sarina Tang Fine Art,POINT (-74.00525477577852 40.74841075541706),535 W 23rd St,,-74.00525477577852,40.74841075541706,Art_Gallery
127,Savacou Galleries,POINT (-73.98626836015879 40.73178217523588),240 E 13th St,,-73.98626836015879,40.73178217523588,Art_Gallery
128,Sayn-Wittgenstein,POINT (-73.96141027379505 40.77036690857002),155 E 72nd St,,-73.96141027379505,40.77036690857002,Art_Gallery
129,Schellmann Editions,POINT (-74.00585461846735 40.749826941600126),210 11th Ave,,-74.00585461846735,40.749826941600126,Art_Gallery
130,Schickler Howard Fine Art,POINT (-73.9899230191079 40.70287471566356),100 Water St,,-73.9899230191079,40.70287471566356,Art_Gallery
131,Schillay Fine Art,POINT (-73.95267537512437 40.76613926035685),520 E 72nd St,,-73.95267537512437,40.76613926035685,Art_Gallery
132,Schiller & Bodo Fine Art,POINT (-73.96628742693697 40.76612066503104),120 E 65th St,,-73.96628742693697,40.76612066503104,Art_Gallery
133,Schlesinger Gallery,POINT (-73.96547437151817 40.77245891705941),24 E 73rd St,,-73.96547437151817,40.77245891705941,Art_Gallery
134,Scholten Japanese Art,POINT (-73.96707156094901 40.7677175399878),63 E 66th St,,-73.96707156094901,40.7677175399878,Art_Gallery
135,Schonfeld R D & Co Inc,POINT (-73.9669851798845 40.753635380576966),349 E 49th St,,-73.9669851798845,40.753635380576966,Art_Gallery
136,Sculpture Center,POINT (-73.94081426624797 40.746921327465024),44-19 Purves St,,-73.94081426624797,40.746921327465024,Art_Gallery
137,Sean Kelly Inc,POINT (-74.00306879167971 40.75188382019684),526 W 29th St,,-74.00306879167971,40.75188382019684,Art_Gallery
138,Sears-Peyton Gallery,POINT (-74.0057991263059 40.74991739032808),210 11th Ave,,-74.0057991263059,40.74991739032808,Art_Gallery
139,Seaside Summer Concert Series Inc,POINT (-73.96089003981638 40.65968268185264),572 Flatbush Ave,,-73.96089003981638,40.65968268185264,Art_Gallery
140,Second Ave Art Expo,POINT (-73.96741088497615 40.7558314157737),980 2nd Ave,,-73.96741088497615,40.7558314157737,Art_Gallery
141,Seibold Eleanor,POINT (-73.94807967210905 40.77506696449551),1601 York Ave,,-73.94807967210905,40.77506696449551,Art_Gallery
142,Senior & Shopmaker,POINT (-73.98681734650098 40.74327330486988),21 E 26th St,,-73.98681734650098,40.74327330486988,Art_Gallery
143,Sepia International Inc the,POINT (-73.99450269931272 40.74425012968437),148 W 24th St,,-73.99450269931272,40.74425012968437,Art_Gallery
144,Serbin Inna,POINT (-73.95440566613355 40.771111865592246),342 E 77th St,,-73.95440566613355,40.771111865592246,Art_Gallery
145,Serger Helen La Boetie,POINT (-73.96122592165297 40.77875554623769),9 E 82ND ST,,-73.96122592165297,40.77875554623769,Art_Gallery
146,Seven Colors,POINT (-73.97882343724704 40.755678044060986),555 5th Ave,,-73.97882343724704,40.755678044060986,Art_Gallery
147,Shades of Art,POINT (-73.97949383741295 40.68753305466083),47 Flatbush Ave,,-73.97949383741295,40.68753305466083,Art_Gallery
148,Shainman Jack Gallery,POINT (-74.006263402563 40.7463655471036),513 W 20th St,,-74.006263402563,40.7463655471036,Art_Gallery
