,Names,Geometry,Address,Lattitude,Longitude,Category,Details
1421,Monument to Bushwick War Memorial at Memorial Gore,POINT(1000226.6514336318 199718.6170167327),"Bushwick, Metropolitan and Maspeth Avenues",1000226.65143363,199718.617016733,Park,"Dedicated December 5, 1920"
1422,Monument to Soldiers and Sailors Memorial Arch at Grand Army Plaza,POINT(992608.2276941388 184457.6029193997),,992608.227694139,184457.6029194,Park,"Dedicated October 21, 1892"
1423,Monument to General Josiah Porter at Van Cortlandt Park,POINT(1013333.619642228 264023.9995605648),"Behind Van Cortlandt House, Broadway at 245th Street",1013333.61964223,264023.999560565,Park,Dedicated 1902
1424,Monument to Clinton War Memorial (Doughboy) at De Witt Clinton Park,POINT(985931.3168353884 218903.96053572),11th Avenue and 53rd Street,985931.316835388,218903.96053572,Park,"Dedicated November 11, 1929"
1425,Monument to Holocaust Memorial at Hammarskjold Plaza,POINT(992989.0760138036 213256.98265647888),,992989.076013804,213256.982656479,Park,Dedicated 1982
1426,Monument to Liam O'Brien Memorial at Pelham Bay Park,POINT(1036935.1367435604 261623.25829905272),"Split Rock Golf Course, twelfth hole",1036935.13674356,261623.258299053,Park,"Dedicated March 16, 1992"
1427,Monument to Isidor and Ida Straus at Straus Park,POINT(993051.905612558 231379.41491547227),Broadway at 106th Street,993051.905612558,231379.414915472,Park,Dedicated 1915
1428,Monument to Cockatoos and Ara at Central Park,POINT(992099.4823205472 218790.09068472683),"Central Park Zoo; Gallery, west end of south façade",992099.482320547,218790.090684727,Park,Dedicated 1935
1429,Monument to Flushing World War Memorial at Flushing Fields,POINT(1035052.952187717 220623.16707105932),149th Street and Bayside Avenue,1035052.95218772,220623.167071059,Park,Dedicated 1935
1430,Monument to Carl Schurz Memorial at Morningside Park,POINT(995584.8966095597 232921.2527110577),Morningside Drive at 116th Street,995584.89660956,232921.252711058,Park,"Dedicated May 10, 1913"
1431,Monument to Governor Alfred E. Smith Memorial at Alfred E. Smith Park,POINT(985001.6362800598 198258.3951996416),"Catherine Street, between Cherry and Monroe Streets, fronting the Governor A.E. Smith Houses",985001.63628006,198258.395199642,Park,"Dedicated June 1, 1950"
1432,Monument to Friedel Memorial Drinking Fountain at Central Park,POINT(995693.2385844736 225024.8255905658),"Runners Gate, 90th Street and 5th Avenue",995693.238584474,225024.825590566,Park,"Dedicated December 6, 1992"
1433,Monument to Tulip Tree at Inwood Hill Park,POINT(1005348.3426337988 257442.17118881643),,1005348.3426338,257442.171188816,Park,Dedicated February 2 1954
1434,Bryan Hunt on Park Avenue,POINT(40.7592 -73.97271),"Park Avenue, 52nd Street-57th Street",40.7592,-73.97271,StreetArt,Made by Bryan Hunt
1435,Monument to Corporal George J. Wellbrock Memorial at Corporal George J.A. Wellbrock Triangle,POINT(1030412.8735413848 186650.87641997635),"Rockaway Boulevard, 106th Street, 109 Avenue",1030412.87354138,186650.876419976,Park,Dedicated 1929
1436,Monument to Unionport Memorial at Church Square,POINT(1025672.4994919748 241663.1584555656),"Castle Hill Avenue, Watson Avenue, Cross Bronx Expressway",1025672.49949197,241663.158455566,Park,Dedicated nan
1437,Monument to City Employees War Memorial at Central Park,POINT(992012.7098563015 221021.7991478145),"West of north end of Mall, opposite Naumberg Bandshell",992012.709856302,221021.799147815,Park,Dedicated 1926
1438,Monument to Navy Walk Tablet at Central Park,POINT(992166.4490501434 221391.647817567),"West walk, fountain esplanade",992166.449050143,221391.647817567,Park,"Dedicated May 24, 1947"
1439,Monument to Richmond Hill War Memorial at Forest Park,POINT(1028182.0594334753 194831.59857556224),Myrtle Avenue and  Park Lane South,1028182.05943348,194831.598575562,Park,Dedicated November 1925
1440,Monument to The New York Times Capsule at Theodore Roosevelt Park,POINT(991233.1175834686 223979.49697256088),entry plaza outside the Columbus Avenue pavilion of The American Museum of Natural History,991233.117583469,223979.496972561,Park,"Dedicated March 26, 2000"
1441,Monument to Bowdoin Horse Trough I at Flushing Park Center Plots,POINT(1031381.0822348892 217471.552639395),Northern Boulevard and Linden Place,1031381.08223489,217471.552639395,Park,Dedicated 1909
1442,Monument to Lieutenant Colonel George U. Harvey Memorial Plaque at Lost Battalion Hall,POINT(1021483.0869390516 205886.2418205589),Queens Blvd between 62 Ave and 62 Rd; front lobby of rec center,1021483.08693905,205886.241820559,Park,"Dedicated October 7, 1946"
1443,Monument to The Family at New Abingdon Playground,POINT(982793.7935828865 207434.23085056245),"Bleecker and West 11th Street, north-west corner, sitting area under Linden trees",982793.793582886,207434.230850562,Park,"Dedicated May 27, 1992"
1444,Monument to American Antelopes at Central Park,POINT(992341.8181219696 219062.77649106085),"Central Park Zoo; School, center of east façade",992341.81812197,219062.776491061,Park,Dedicated 1935
1445,Monument to Eagles and Prey at Central Park,POINT(991858.1665302216 220696.88641181588),,991858.166530222,220696.886411816,Park,Dedicated 1863
1446,Monument to Eagles and Prey at Central Park,POINT(991858.1665302216 220696.88641181588),,991858.166530222,220696.886411816,Park,Dedicated 1863
1447,Monument to Eagles and Prey at Central Park,POINT(991858.1665302216 220696.88641181588),,991858.166530222,220696.886411816,Park,Dedicated 1863
1448,Monument to Eagles and Prey at Central Park,POINT(991858.1665302216 220696.88641181588),,991858.166530222,220696.886411816,Park,Dedicated 1863
1449,Monument to Daniel & Flor Guggenheim Memorial Bandshell at Damrosch Park,POINT(988264.1845449656 220761.8183685541),Amsterdam Avenue and West 62nd Street,988264.184544966,220761.818368554,Park,Dedicated 1969
1450,Monument to Middle Village War Memorial at Middle Village Playground,POINT(1018274.7390250564 199598.02703480425),"77 Street, 66 Road, Gray Street",1018274.73902506,199598.027034804,Park,Dedicated 1945
1451,Monument to Reverend Matthew J. Crosson Tablet at Reverend Matthew J. Crosson Memorial Park,POINT(1013107.1794783026 210033.69317130744),TRIANGLE F/BQE; Woodside Avenue at 69th Street,1013107.1794783,210033.693171307,Park,Dedicated 1968
