,city,month_num,weather_factor,coef,intercept,mae,mse,r2,2022_prediction_inches
0,london,1,rainfall,0.012768620760414495,-23.06999961381687,0.9455562220348208,1.2994023811567372,-0.19465953314465145,2.7481515637412386
1,london,2,rainfall,0.010685416914782307,-19.639098872816522,0.8156002908365777,0.9302905831667659,0.027167518826842096,1.9668141288733025
2,london,3,rainfall,-0.0032411375345904035,8.106946567003705,0.6344830446207803,0.5914444148024861,-0.01503453660160936,1.5533664720619091
3,london,4,rainfall,-0.00404211338631193,9.602573906410335,0.7966786391788722,1.2823173226265354,-0.060408816938808396,1.4294206392876116
4,london,5,rainfall,0.006767056195608393,-11.486851357816093,0.9013332917770864,1.1342921569038886,-0.16543176141894889,2.196136269704077
5,london,6,rainfall,0.0020683666730234285,-2.21826237348672,1.1117412083867533,1.7173653213853057,-0.036881639099233476,1.9639750393666526
6,london,7,rainfall,-0.0033726629358345394,8.510629591184834,0.9043181322343953,1.0823738334901785,-0.041946144869418056,1.6911051349273958
7,london,8,rainfall,0.0017324771579528735,-1.300430852975027,0.8579728076805209,1.2791144219332053,-0.05049545339726991,2.202637960405683
8,london,9,rainfall,-0.010682033075506584,23.285270443726098,0.7019643154731099,0.7907046809258292,-0.05074448990192382,1.6861995650517834
9,london,10,rainfall,0.012965354533939662,-23.34844764752496,1.3263551186416005,3.1013833556082524,-0.0534331005785289,2.8674992201010348
10,london,11,rainfall,-0.002691138332398191,7.721480964199001,1.2792778416097181,2.734751144791606,-0.024226288279006525,2.2799992560898588
11,london,12,rainfall,-7.400995594798906e-05,2.3411416518378645,0.9537511181938998,1.346296403825988,-0.05805930359920386,2.1914935209110307
12,nyc,1,rainfall,0.006553757782711341,-9.751829354463489,1.5929352174597158,3.997844642784041,-0.21223797137092082,3.499868882178843
13,nyc,2,rainfall,0.010228559837242343,-17.040199367652367,1.0810956607018751,1.6760150536300453,-0.088436192253323,3.6419486232516505
14,nyc,3,rainfall,0.017607266309074884,-30.454246587134193,1.5377858846606933,3.7721032104169385,-1.2198948958683729,5.147645889815223
15,nyc,4,rainfall,0.02067713144118074,-36.81511332555873,1.466813892060458,3.0302119411565953,-0.30247805215207135,4.994046448508726
16,nyc,5,rainfall,0.014175912106073923,-23.848124297329143,1.6594271220847114,4.592232336482781,-0.10080781451341103,4.815569981152329
17,nyc,6,rainfall,0.028447784163464256,-52.71004443200241,2.1774061557926636,7.558376229475698,0.05547324725337366,4.811375146522316
18,nyc,7,rainfall,0.026853426788245885,-49.2420334377765,2.2069816722717515,7.879409932041345,-0.3269303062023088,5.055595528056678
19,nyc,8,rainfall,0.02823632795249009,-51.355556724906315,1.9720288883655406,5.638806571261296,-0.18333189102590652,5.738298395028643
20,nyc,9,rainfall,0.0309290816472746,-57.49942773112855,2.415088682113952,8.655367051000168,-0.07850060045416218,5.039175359660689
21,nyc,10,rainfall,0.040325987275749396,-75.93551126268123,1.6818213506770896,4.470263630984494,-0.14385897978831874,5.603635008884041
22,nyc,11,rainfall,-0.011736186736974836,27.09634822605605,1.4739394723267156,3.4057586135719533,-0.12412414594305843,3.3657786438929307
23,nyc,12,rainfall,-0.0015631448099959879,6.889817769530579,1.6121019278687634,3.776072087262223,-0.34991744349654064,3.7291389637186914
